Date,Category,Description,Amount,Type
2025-01-27,Transport,Car oil change service,162.56,Expense
2025-01-26,Food,Monthly payment for gym membership renewal includi,97.73,Expense
2025-01-25,Shopping,Payment to local grocery store final installment,146.20,Expense
2025-01-24,Health,Prescription medication,164.89,Expense
2025-01-23,Housing,Reimbursement from car maintenance center,128.35,Expense
2025-01-20,Holiday,Spring vacation booking,138.80,Expense
2025-01-19,Shopping,Winter jacket purchase,5.01,Expense
2025-01-18,Shopping,Membership at online course platform with cashback,197.14,Expense
2025-01-18,Entertainment,Art supplies for hobby,133.55,Expense
2025-01-18,Food,Service fee for online course platform including d,195.69,Expense
2025-01-17,Health,Health insurance premium,123.21,Expense
2025-01-17,Holiday,Christmas presents for kids,184.91,Expense
2025-01-16,Shopping,Annual subscription to charity organization early ,95.85,Expense
2025-01-16,Entertainment,Movie tickets for family,24.64,Expense
2025-01-15,Health,Gym membership fee,186.03,Expense
2025-01-14,Transport,Car oil change service,27.57,Expense
2025-01-07,Holiday,New Year's Eve party supplies,176.83,Expense
2025-01-07,Holiday,Easter family dinner,44.85,Expense
2025-01-03,Income,Salary payment,2983.46,Income
2025-01-03,Shopping,Home office supplies,172.03,Expense
2024-12-29,Entertainment,Art supplies for hobby,78.05,Expense
2024-12-29,Shopping,Service fee for local grocery store,159.66,Expense
2024-12-27,Holiday,Easter family dinner,144.20,Expense
2024-12-24,Entertainment,Art supplies for hobby,198.73,Expense
2024-12-24,Holiday,Christmas presents for kids,59.34,Expense
2024-12-21,Holiday,Easter family dinner,197.37,Expense
2024-12-21,Income,Birthday gift money,768.93,Income
2024-12-20,Holiday,Easter family dinner,51.35,Expense
2024-12-17,Health,Reimbursement from favorite coffee shop,123.34,Expense
2024-12-17,Transport,Monthly metro pass,106.76,Expense
2024-12-16,Holiday,New Year's Eve party supplies,41.45,Expense
2024-12-16,Holiday,Spring vacation booking,13.80,Expense
2024-12-12,Health,Dental checkup visit,83.29,Expense
2024-12-11,Holiday,Christmas presents for kids,139.96,Expense
2024-12-10,Income,Freelance project completion,3268.67,Income
2024-12-06,Holiday,New Year's Eve party supplies,31.80,Expense
2024-12-03,Shopping,Winter jacket purchase,136.50,Expense
2024-12-02,Food,Weekly grocery shopping,165.46,Expense
